@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,0,6.8,0.2,54.02,119.8661885,219
0,0,4.2,0.1,54.02,219,189
7,7.8,1.8,-4.7,54.02,189,177
0,0,-3.4,-9.9,54.02,177,162
0,0,1,-6.2,54.02,162,141
0,0,6.2,-0.2,55.43,141,136
0,0,9.4,1.8,55.43,136,135
0,0,10.6,2.8,55.43,135,135
0,0,12.9,2.9,55.43,135,139
0,0,13.2,4.6,55.43,139,146
0,0,16.4,7.2,55.43,146,162
0,0,17.8,7.8,38.74,162,170
0,0,18.8,8.4,38.74,170,185
0,0,17.6,11.6,38.74,185,200
0.5,0,12.1,6.4,38.74,200,233
7.7,7.6,4.8,1.7,38.74,233,326
0,0,8,2.6,41.73,326,352
0,0,10.5,3.9,41.73,352,286
0,0,9.9,5.4,41.73,286,247
1,0.2,12.3,5.8,39.06,247,223
0,0.4,12.8,7.1,39.06,223,207
12.7,7,9.2,6.9,39.06,207,229
7.4,1.5,8.2,4.8,39.06,229,298
1.5,3.1,9,5.2,39.06,298,324
3.8,1.2,8.2,2.1,39.06,324,289
2.7,1.4,10.6,5.5,39.06,289,258
0,0,15,8,39.06,258,237
0,0,17.7,11.4,39.06,237,235
0,0,12.4,7.7,35.12,235,264
25,5.8,12.6,8.5,35.12,264,318
2,2.5,12.8,7,35.12,318,360
0,1.9,14,6.6,35.12,360,348
0.4,0.2,13.4,7.2,35.12,348,320
0.3,11.5,12,4,35.12,320,309
1.3,18.6,15.4,9.1,35.12,309,348
0,0,13.1,8.7,35.12,348,401
0,0.5,17.8,12.5,35.12,401,368
0,0,18.4,13.8,35.12,368,355
0.3,0,15.4,10.6,33.54,355,377
4.2,12.8,18.7,12.2,12.44,377,422
0,0,15.4,11.4,12.44,422,456
4.7,0.2,12.6,8.3,12.44,456,437
0,0,13.8,7.3,12.44,437,391
0,0,13.7,6.6,12.44,391,337
1.5,21.2,12,7.7,12.44,337,298
6.7,5.1,9.9,5.6,12.44,298,288
5.8,7.9,10.8,5.6,12.44,288,292
0,5.3,12.2,6.8,12.44,292,294
1.8,1.2,10.4,6.4,12.44,294,273
2,10.4,12.3,6.4,12.44,273,268
0,0,14.8,9.1,12.44,268,289
0,0,16,11.5,12.44,289,277
0,0,17.8,11.8,12.44,277,244
0.8,0,19.3,14,12.44,244,232
0,0,21,14.2,12.44,232,239
0,0.2,22.3,16.1,12.44,239,243
0,0,17.3,14.5,12.44,243,264
19.4,9.9,14.4,10.8,12.44,264,294
9.8,7.8,15,11.5,12.44,294,358
1,0.6,17.4,11.6,12.44,358,371
0,3.9,19.2,12.2,12.44,371,332
0,0.6,17.2,11.8,12.44,332,294
0,0,16.2,12,12.44,294,274
1,0.1,14.3,12.7,12.44,274,259
8.4,1.9,16.4,11.1,12.44,259,253
0,0,19.4,14,12.44,253,250
0,0,22.1,15.4,12.44,250,228
0,0,21.2,15.2,12.44,228,214
